node,nodeLabel,is_seed,group,id,nodeLabel2
Q100145786,William Gabriel Duvall,FALSE,ancestor,0,William Gabriel Duvall 0
Q100145788,Gabriell Duvall,FALSE,ancestor,1,Gabriell Duvall 1
Q100145789,Benjamin Duvall,FALSE,ancestor,2,Benjamin Duvall 2
Q100153033,"John Fettiplace, of East Shefford, Berks",FALSE,ancestor,3,"John Fettiplace, of East Shefford, Berks 3"
Q100153035,"Sir Thomas Fettiplace, of East Shefford",FALSE,ancestor,4,"Sir Thomas Fettiplace, of East Shefford 4"
Q100153036,"Henry Fettiplace, of East Shefford",FALSE,ancestor,5,"Henry Fettiplace, of East Shefford 5"
Q100153040,Beatriz|Beatrice,FALSE,ancestor,6,Beatriz|Beatrice 6
Q100153041,Joan|Jane Fabian,FALSE,ancestor,7,Joan|Jane Fabian 7
Q100153042,Edward Fabian,FALSE,ancestor,8,Edward Fabian 8
Q100153043,"William Besilles, of Bessiles-Leigh",FALSE,ancestor,9,"William Besilles, of Bessiles-Leigh 9"
Q100153044,"Thomas Bessiles (Bessells), of Carswell",FALSE,ancestor,10,"Thomas Bessiles (Bessells), of Carswell 10"
Q100153045,"Sir Peter Besylles (Besells), of Besselslegh & Bokeland, Berks",FALSE,ancestor,11,"Sir Peter Besylles (Besells), of Besselslegh & Bokeland, Berks 11"
Q100153048,Margery Hannys (Hannes),FALSE,ancestor,12,Margery Hannys (Hannes) 12
Q100153051,Clemence Ledyard,FALSE,ancestor,13,Clemence Ledyard 13
Q100153052,Alice Harcourt,FALSE,ancestor,14,Alice Harcourt 14
Q100153064,Margaret Hoo,FALSE,ancestor,15,Margaret Hoo 15
Q100447686,Elizabeth Noyes,FALSE,ancestor,16,Elizabeth Noyes 16
Q100447816,Thomas Barber,FALSE,ancestor,17,Thomas Barber 17
Q100447820,John Barber,FALSE,ancestor,18,John Barber 18
Q100447822,Elizabeth Lumley,FALSE,ancestor,19,Elizabeth Lumley 19
Q100447825,Jane Bancroft,FALSE,ancestor,20,Jane Bancroft 20
Q101163257,Sir John Troutbeck,FALSE,ancestor,21,Sir John Troutbeck 21
