qid,name,sibling,spouse
Q100145788,Gabriell Duvall,1,0
Q100145789,Benjamin Duvall,1,0
Q100153033,"John Fettiplace, of East Shefford, Berks",2,1
Q100153035,"Sir Thomas Fettiplace, of East Shefford",0,1
Q100153040,Beatriz|Beatrice,0,1
Q100153041,Joan|Jane Fabian,0,1
Q100153043,"William Besilles, of Bessiles-Leigh",1,2
Q100153044,"Thomas Bessiles (Bessells), of Carswell",0,1
Q100153045,"Sir Peter Besylles (Besells), of Besselslegh & Bokeland, Berks",0,1
Q100153048,Margery Hannys (Hannes),0,1
Q100153051,Clemence Ledyard,0,1
Q100153052,Alice Harcourt,3,2
Q100153064,Margaret Hoo,0,1
Q100326337,Sir William Plumpton,1,0
Q100326381,Agnes Harington,6,0
Q100326382,Matilda|Alice Hamerton,4,0
Q100326446,Elizabeth Norton,2,0
Q100447310,William Winthrop,1,0
Q100447630,Sarah Barber,4,0
Q100447677,Josiah Haynes (Haines),2,0
Q100447686,Elizabeth Noyes,2,1
Q100447816,Thomas Barber,0,1
Q100447820,John Barber,0,1
Q100447822,Elizabeth Lumley,0,1
Q100447825,Jane Bancroft,0,1
Q100900242,"Elizabeth Hamerton, of Wigglesworth",4,0
Q100901131,"Sir John Mainwaring, of Peover",8,0
Q100901145,"Margaret|Margery Bulkeley, of Cheadle",8,0
Q101163257,Sir John Troutbeck,0,1
Q101163261,Marjery Hulse (Holes),3,1
Q101208263,Sarah Judson,6,0
Q101231732,Sybil|Juliana Darset (Dorset),0,1
Q101231755,Elizabeth Beselles (Bessells),1,0
Q101231836,Dorothy|Elizabeth Arundell,4,0
Q101243731,Moses Draper,4,0
Q101422787,Eunice Taintor,5,0
Q101422788,"Nathaniel Foote, III",3,1
Q101422789,"Nathaniel Foote, II",6,0
Q101422798,Margaret Foote,7,1
Q101422800,Catherine Bliss,5,0
Q101422820,Henry Chapin,5,0
Q101422841,Japhet Chapin,5,1
Q101422842,NA,0,1
Q101422852,John Chapin,0,1
Q101422853,Phillipe Easton,0,1
Q101422856,Henry Penny,0,1
Q101422857,Jane,0,1
Q101423104,Michael Spencer,0,1
Q101423105,"John Spencer, of Edworth",0,1
Q101423106,Ann Merrill,0,1
Q101423107,NN,0,1
Q101423222,Josiah Marshfield,7,0
Q101423285,Mary Foote,6,0
Q101423332,Mary Holcombe,7,0
Q101423354,Margaret Parsons,7,0
Q101423445,Hannah Hitchcock,5,0
Q101423697,Samuel Bliss,7,0
Q101423840,Sarah Field,7,0
Q101424359,Margaret Jones,1,0
Q101424361,Ephraim Foote,5,1
Q101424598,"Josiah Foote, Sr",5,0
Q101424633,Thomas Gilbert,7,0
Q101522612,Katherine de Arderne,0,1
Q101522619,Isabel de Strange,0,1
Q101522622,Sir Lawrence Pabenham,0,1
Q101522624,Elizabeth Engaine,0,1
Q101523209,Isabel Nanfan (Nanfant),4,0
Q101523503,Margaret|Margery Appleton,1,0
Q101536506,Anna Gibbs,6,0
Q101566740,NA,0,1
Q101566808,Alice Anne Walton,2,0
Q101566876,James M. Walton,2,0
Q101567015,NA,0,1
Q101568120,NA,0,1
Q102196997,NA,0,1
Q102197014,NA,0,1
Q102197117,NA,1,0
Q102327518,Abia Abiah Swift,3,0
Q102352231,Margaret Bernard,1,0
Q102400157,August Chan Zuckerberg,2,0
Q102400428,NA,0,1
Q102433534,Preston Bezos,4,0
Q102433548,second son of Jeff Bezos,4,0
Q102433555,third son of Jeff Bezos,4,0
Q102434015,Lawrence Preston Gise,0,1
Q102434144,Mattie Louise Strait,0,1
Q102434206,Theodore John Jorgensen,0,1
Q102434217,Dolores Pollack,0,1
Q102522194,Joseph Howland,3,1
Q10322797,NA,0,1
Q103519605,Abigail Swift,3,0
Q103838063,"Nicholas Harington, of Hoyton",6,0
Q103948038,"Richard Danvers, of Calthorpe",0,1
Q103948067,Agnes Brancaster (Brancestre),0,1
Q103948114,Juliana,0,1
Q104038132,Lancelot Lisle,0,1
Q104038136,John Lisle,0,1
Q104038141,John de Lisle,0,1
Q104038143,Christina de Tisted,0,1
Q104038144,Maria Rogers,0,1
Q104038147,Ann Wroughton,0,1
Q104038154,"Sir John Hungerford, of Down Ampney",0,1
Q104038156,"Margaret Blount, of Mangotsfield",0,1
Q104038158,Jane Darell,0,1
Q104038161,"Sir Edward Darell, of Littlecote",2,1
Q104038162,Jane|Alice Croft,6,1
Q104038164,Bridget Fettiplace,2,1
Q104038166,"Sir John Fettiplace, of East Shefford",1,1
Q104038170,Dorothy Danvers,4,2
Q104038174,Anne Stradling,0,1
Q104038224,"William Bond, of Lutton",0,1
Q104038225,"Robert Bond, of Lutton",1,1
Q104038227,"Robert Bond, of Beauchamp's Bache",0,1
Q104038228,"NN Lutton, Heiress of Lutton",0,1
Q104038231,Mary Hody,3,1
Q104038234,Elizabeth Prowz,1,1
Q104038267,Alienore|Aline|Alianore Le Strange,0,1
Q104038271,Christian Halle (Hall),0,1
Q104038274,"Sir Edmund|John Blount, of Mangotsfield",0,1
Q104038276,"John Blount, of Mangotsfield",0,1
Q104038279,Willelma Aberle,0,1
Q104038280,Thomas Abarle (Aberle|Aberhale),0,1
Q104038282,Alice Lathebrooke,0,1
Q104038284,Margaret Seymour,3,1
Q104038325,Joan|Jane Hawte (Haute),4,1
Q104038327,"Sir Edmund Hawte (Haute), of Petham",0,1
Q104038328,Benedicta|Bennet Shelving,0,1
Q104038330,"Sir Thomas Coven (Couen|Cawne), of Ightham, Kent",0,1
Q104038332,Lora de Moraunt,0,1
Q104038398,"Richard Danvers, of Prescote",7,1
Q104038400,Elizabeth Langston,1,1
