src_qid,dst_qid,relation_type,source_file,src_name,dst_name,depth_from_roots.x,seed_id,src_generation_from_seed,depth_from_roots.y,dst_generation_from_seed,src_depth_from_roots,dst_depth_from_roots
Q312556,Q97749941,has_father,anc_edges,Jeff Bezos,Ted Jorgensen,1,gen_from_Q312556,0,2,1,1,2
Q312556,Q97749941,has_father,anc_edges,Jeff Bezos,Ted Jorgensen,1,gen_from_Q5284,NA,2,NA,1,2
Q312556,Q97749941,has_father,anc_edges,Jeff Bezos,Ted Jorgensen,1,gen_from_Q47213,NA,2,NA,1,2
Q312556,Q97749941,has_father,anc_edges,Jeff Bezos,Ted Jorgensen,1,gen_from_Q92759,NA,2,NA,1,2
Q312556,Q97749941,has_father,anc_edges,Jeff Bezos,Ted Jorgensen,1,gen_from_Q36215,NA,2,NA,1,2
Q312556,Q97749941,has_father,anc_edges,Jeff Bezos,Ted Jorgensen,1,gen_from_Q741784,NA,2,NA,1,2
Q312556,Q97749941,has_father,anc_edges,Jeff Bezos,Ted Jorgensen,1,gen_from_Q736477,NA,2,NA,1,2
Q312556,Q97749941,has_father,anc_edges,Jeff Bezos,Ted Jorgensen,1,gen_from_Q289571,NA,2,NA,1,2
Q312556,Q97749941,has_father,anc_edges,Jeff Bezos,Ted Jorgensen,1,gen_from_Q4934,NA,2,NA,1,2
Q312556,Q92464290,has_mother,anc_edges,Jeff Bezos,Jacklyn Gise,1,gen_from_Q312556,0,1,1,1,1
Q312556,Q92464290,has_mother,anc_edges,Jeff Bezos,Jacklyn Gise,1,gen_from_Q5284,NA,1,NA,1,1
Q312556,Q92464290,has_mother,anc_edges,Jeff Bezos,Jacklyn Gise,1,gen_from_Q47213,NA,1,NA,1,1
Q312556,Q92464290,has_mother,anc_edges,Jeff Bezos,Jacklyn Gise,1,gen_from_Q92759,NA,1,NA,1,1
Q312556,Q92464290,has_mother,anc_edges,Jeff Bezos,Jacklyn Gise,1,gen_from_Q36215,NA,1,NA,1,1
Q312556,Q92464290,has_mother,anc_edges,Jeff Bezos,Jacklyn Gise,1,gen_from_Q741784,NA,1,NA,1,1
Q312556,Q92464290,has_mother,anc_edges,Jeff Bezos,Jacklyn Gise,1,gen_from_Q736477,NA,1,NA,1,1
Q312556,Q92464290,has_mother,anc_edges,Jeff Bezos,Jacklyn Gise,1,gen_from_Q289571,NA,1,NA,1,1
Q312556,Q92464290,has_mother,anc_edges,Jeff Bezos,Jacklyn Gise,1,gen_from_Q4934,NA,1,NA,1,1
Q97749941,Q102434206,has_father,anc_edges,Ted Jorgensen,Theodore John Jorgensen,2,gen_from_Q312556,1,3,2,2,3
Q97749941,Q102434206,has_father,anc_edges,Ted Jorgensen,Theodore John Jorgensen,2,gen_from_Q5284,NA,3,NA,2,3
Q97749941,Q102434206,has_father,anc_edges,Ted Jorgensen,Theodore John Jorgensen,2,gen_from_Q47213,NA,3,NA,2,3
Q97749941,Q102434206,has_father,anc_edges,Ted Jorgensen,Theodore John Jorgensen,2,gen_from_Q92759,NA,3,NA,2,3
Q97749941,Q102434206,has_father,anc_edges,Ted Jorgensen,Theodore John Jorgensen,2,gen_from_Q36215,NA,3,NA,2,3
Q97749941,Q102434206,has_father,anc_edges,Ted Jorgensen,Theodore John Jorgensen,2,gen_from_Q741784,NA,3,NA,2,3
Q97749941,Q102434206,has_father,anc_edges,Ted Jorgensen,Theodore John Jorgensen,2,gen_from_Q736477,NA,3,NA,2,3
Q97749941,Q102434206,has_father,anc_edges,Ted Jorgensen,Theodore John Jorgensen,2,gen_from_Q289571,NA,3,NA,2,3
Q97749941,Q102434206,has_father,anc_edges,Ted Jorgensen,Theodore John Jorgensen,2,gen_from_Q4934,NA,3,NA,2,3
Q97749941,Q102434217,has_mother,anc_edges,Ted Jorgensen,Dolores Pollack,2,gen_from_Q312556,1,3,2,2,3
Q97749941,Q102434217,has_mother,anc_edges,Ted Jorgensen,Dolores Pollack,2,gen_from_Q5284,NA,3,NA,2,3
Q97749941,Q102434217,has_mother,anc_edges,Ted Jorgensen,Dolores Pollack,2,gen_from_Q47213,NA,3,NA,2,3
Q97749941,Q102434217,has_mother,anc_edges,Ted Jorgensen,Dolores Pollack,2,gen_from_Q92759,NA,3,NA,2,3
Q97749941,Q102434217,has_mother,anc_edges,Ted Jorgensen,Dolores Pollack,2,gen_from_Q36215,NA,3,NA,2,3
Q97749941,Q102434217,has_mother,anc_edges,Ted Jorgensen,Dolores Pollack,2,gen_from_Q741784,NA,3,NA,2,3
Q97749941,Q102434217,has_mother,anc_edges,Ted Jorgensen,Dolores Pollack,2,gen_from_Q736477,NA,3,NA,2,3
Q97749941,Q102434217,has_mother,anc_edges,Ted Jorgensen,Dolores Pollack,2,gen_from_Q289571,NA,3,NA,2,3
Q97749941,Q102434217,has_mother,anc_edges,Ted Jorgensen,Dolores Pollack,2,gen_from_Q4934,NA,3,NA,2,3
Q92464290,Q102434015,has_father,anc_edges,Jacklyn Gise,Lawrence Preston Gise,1,gen_from_Q312556,1,2,2,1,2
Q92464290,Q102434015,has_father,anc_edges,Jacklyn Gise,Lawrence Preston Gise,1,gen_from_Q5284,NA,2,NA,1,2
Q92464290,Q102434015,has_father,anc_edges,Jacklyn Gise,Lawrence Preston Gise,1,gen_from_Q47213,NA,2,NA,1,2
