qid,gen_from_Q312556,gen_from_Q5284,gen_from_Q47213,gen_from_Q92759,gen_from_Q36215,gen_from_Q741784,gen_from_Q736477,gen_from_Q289571,gen_from_Q4934,depth_from_roots
Q102434015,2,NA,NA,NA,NA,NA,NA,NA,NA,2
Q102434144,2,NA,NA,NA,NA,NA,NA,NA,NA,2
Q102434206,2,NA,NA,NA,NA,NA,NA,NA,NA,3
Q102434217,2,NA,NA,NA,NA,NA,NA,NA,NA,3
Q105446586,3,NA,NA,NA,NA,NA,NA,NA,NA,4
Q106630002,3,NA,NA,NA,NA,NA,NA,NA,NA,3
Q106630003,3,NA,NA,NA,NA,NA,NA,NA,NA,3
Q106630007,4,NA,NA,NA,NA,NA,NA,NA,NA,4
Q106630009,4,NA,NA,NA,NA,NA,NA,NA,NA,4
Q106630013,3,NA,NA,NA,NA,NA,NA,NA,NA,3
Q106630015,3,NA,NA,NA,NA,NA,NA,NA,NA,3
Q106630017,4,NA,NA,NA,NA,NA,NA,NA,NA,1
Q106630018,4,NA,NA,NA,NA,NA,NA,NA,NA,1
Q106630021,5,NA,NA,NA,NA,NA,NA,NA,NA,5
Q106630022,5,NA,NA,NA,NA,NA,NA,NA,NA,5
Q106630024,6,NA,NA,NA,NA,NA,NA,NA,NA,6
Q106630025,6,NA,NA,NA,NA,NA,NA,NA,NA,6
Q106630027,6,NA,NA,NA,NA,NA,NA,NA,NA,6
Q106630028,6,NA,NA,NA,NA,NA,NA,NA,NA,6
Q106630032,5,NA,NA,NA,NA,NA,NA,NA,NA,2
Q106630036,5,NA,NA,NA,NA,NA,NA,NA,NA,2
Q106630037,6,NA,NA,NA,NA,NA,NA,NA,NA,3
Q106630038,6,NA,NA,NA,NA,NA,NA,NA,NA,3
Q106630039,6,NA,NA,NA,NA,NA,NA,NA,NA,3
Q106630040,6,NA,NA,NA,NA,NA,NA,NA,NA,3
Q106630046,7,NA,NA,NA,NA,NA,NA,NA,NA,4
Q106630047,7,NA,NA,NA,NA,NA,NA,NA,NA,4
