from,to,type
Q100145788,Q130728603,sibling_any
Q100145789,Q1489164,sibling_any
Q100153033,Q110637470,sibling_any
Q100153033,Q116108311,sibling_any
Q100153043,Q101231755,sibling_any
Q100153052,Q75591248,sibling_any
Q100153052,Q75791763,sibling_any
Q100153052,Q76201130,sibling_any
Q100326337,Q99804253,sibling_any
Q100326381,Q103838063,sibling_any
Q100326381,Q108913086,sibling_any
Q100326381,Q18672778,sibling_any
Q100326381,Q75241183,sibling_any
Q100326381,Q75616820,sibling_any
Q100326381,Q76329294,sibling_any
Q100326382,Q100900242,sibling_any
Q100326382,Q107275528,sibling_any
Q100326382,Q76277952,sibling_any
Q100326382,Q99803765,sibling_any
Q100326446,Q110388260,sibling_any
Q100326446,Q99804061,sibling_any
Q100447310,Q56006558,sibling_any
Q100447630,Q125223889,sibling_any
Q100447630,Q125224172,sibling_any
Q100447630,Q125224210,sibling_any
Q100447630,Q131364646,sibling_any
Q100447677,Q105881956,sibling_any
Q100447677,Q108687502,sibling_any
Q100447686,Q96216894,sibling_any
Q100447686,Q96216921,sibling_any
Q100900242,Q107275528,sibling_any
Q100900242,Q76277952,sibling_any
Q100900242,Q99803765,sibling_any
Q100901131,Q100901145,sibling_any
Q100901131,Q104484521,sibling_any
Q100901131,Q105821280,sibling_any
Q100901131,Q75552096,sibling_any
Q100901131,Q75669363,sibling_any
Q100901131,Q75984685,sibling_any
Q100901131,Q99069929,sibling_any
Q100901131,Q99674956,sibling_any
Q100901145,Q104484521,sibling_any
Q100901145,Q105821280,sibling_any
Q100901145,Q75552096,sibling_any
Q100901145,Q75669363,sibling_any
Q100901145,Q75984685,sibling_any
Q100901145,Q99069929,sibling_any
Q100901145,Q99674956,sibling_any
Q101163261,Q110582255,sibling_any
Q101163261,Q75552091,sibling_any
Q101163261,Q76331438,sibling_any
Q101208263,Q101422789,sibling_any
Q101208263,Q101423285,sibling_any
Q101208263,Q114341843,sibling_any
Q101208263,Q75765694,sibling_any
Q101208263,Q96199083,sibling_any
Q101208263,Q98422877,sibling_any
Q101231836,Q101523209,sibling_any
Q101231836,Q104038423,sibling_any
Q101231836,Q6219518,sibling_any
Q101231836,Q75268879,sibling_any
Q101243731,Q104551518,sibling_any
Q101243731,Q123729264,sibling_any
Q101243731,Q131179528,sibling_any
Q101243731,Q99399789,sibling_any
Q101422787,Q101424361,sibling_any
Q101422787,Q101424598,sibling_any
Q101422787,Q107622034,sibling_any
Q101422787,Q107726773,sibling_any
Q101422787,Q123991823,sibling_any
Q101422788,Q104451404,sibling_any
Q101422788,Q104553386,sibling_any
